name,nature,tags
Huilerie Savonnerie du Bénin,Entrepreneur,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes"
IBM TRAINING,Structure étatique,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
Immaculée DIOGO,Professionnel / Consultant indépendant,Activités de services administratifs et de soutien - Activités administratives et autres activités de soutien aux entreprises
immoKini,Startup / Scale-up,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
IMPERIAL SECURITY,PME/PMI,"Information et communication - Programmation, conseil et autres activités informatiques, Activités spécialisées, scientifiques et techniques - Autres activités spécialisées, scientifiques et techniques, Activités de services administratifs et de soutien - Activités de sécurité et d’enquête, +2"
INNOVATECH AGENCY,PME/PMI,"Information et communication - Programmation, conseil et autres activités informatiques, Information et communication - Activités de services d’information, Information et communication - Programmation et diffusion"
INTERNATIONAL FOOD,Grande entreprise,
ISMAST ENERGY SARL,PME/PMI,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné - Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné"
Jean-Paul NOUDEVOMAHOUGBETO,Auto-entrepreneur,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
JOICE SERVICES,PME/PMI,Activités immobilières - Activités immobilières
JOIE DE DEAM,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
JP AVENIR,Chef d'entreprise,"Éducation - Éducation, Autres activités de services - Réparation d’ordinateurs et de biens personnels et domestiques"
JURIS CONSULT,Professionnel / Consultant indépendant,"Activités immobilières - Activités immobilières, Activités de services administratifs et de soutien - Activités de location et de location-bail, Activités de services administratifs et de soutien - Activités administratives et autres activités de soutien aux entreprises"
KAIROS INNOVATIVE GROUP AND SERVICES,PME/PMI,"Industries manufacturières - Fabrication de machines et équipements n.c.a., Industries manufacturières - Fabrication de boissons, Activités financières et d’assurance - Activités auxiliaires de services financiers et d’assurance, +3"
KANZBILE,PME/PMI,"Construction - Construction de bâtiments, Construction - Génie civil, Construction - Travaux de construction spécialisés, +1"
KAWA SERVICES,ONG,"Information et communication - Programmation, conseil et autres activités informatiques"
KEGNON SAPONIFICATION,Structure étatique,Santé humaine et action sociale - Activités de santé humaine
KINHOEGBE SYLVAIN KEGNIDE,Auto-entrepreneur,
KINIWAY,PME/PMI,"Extraction minière et exploitation de carrières - Extraction de houille et de lignite, Extraction minière et exploitation de carrières - Extraction de pétrole brut et de gaz naturel, Extraction minière et exploitation de carrières - Extraction de minerais métalliques, +52"
KOMAC ET FILS,PME/PMI,
labaeka inter,Structure étatique,"Autres activités de services - Réparation d’ordinateurs et de biens personnels et domestiques, Autres activités de services - Autres services personnels, Autres activités de services - Activités des organisations associatives, +4"
labaeka plus,Structure étatique,"Autres activités de services - Réparation d’ordinateurs et de biens personnels et domestiques, Information et communication - Télécommunications, Information et communication - Programmation, conseil et autres activités informatiques, +4"
LA FONTAINE D'HUILE SARL,PME/PMI,"Industries manufacturières - Fabrication de boissons, Industries manufacturières - Fabrication de produits alimentaires, Construction - Construction de bâtiments"
LA LUCIOLE MULTI SERVICES PLUS,PME/PMI,
LAMICHKA,PME/PMI,Industries manufacturières - Fabrication de produits alimentaires
LANIGNAN Farouck Monboladji,Chef d'entreprise,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
La vie est dans l'esprit,Structure étatique,"Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Activités immobilières - Activités immobilières"
LEADER DES SERVICES ET TRAVAUX,Entrepreneur,"Construction - Génie civil, Construction - Construction de bâtiments, Construction - Travaux de construction spécialisés, +5"
LE CACHET ROYALE,Chef d'entreprise,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
LE LIVREUR 2 ZERO,PME/PMI,"Transports et entreposage - Activités postales et de distribution de courriers, Transports et entreposage - Entreposage et services auxiliaires des transports"
Leur plan n'aura pas lieu,ONG,"Transports et entreposage - Transport aérien, Transports et entreposage - Entreposage et services auxiliaires des transports, Transports et entreposage - Activités postales et de distribution de courriers, +85"
LIAM DISTRIBUTION PLUS,PME/PMI,"Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de gros, à l’exception des véhicules automobiles et des motocycles"
LordSTEEVEN La Solution,PME/PMI,
LOSSO NGALIKINI DOSHI CHRISTY,Auto-entrepreneur,"Activités immobilières - Activités immobilières, Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de détail, à l’exception des véhicules automobiles et des motocycles"
MAFITA HELPER,PME/PMI,Activités des ménages en tant qu’employeurs ; activités indifférenciées de production de biens et services pour usage propre par les ménages - Activités des ménages en tant qu’employeurs de personnel domestique
MAGIC PARTNERS,PME/PMI,"Information et communication - Programmation et diffusion, Information et communication - Activités de services d’information, Information et communication - Édition, +6"
MAOS Services,Structure étatique,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
MATCHOS SERVICE,PME/PMI,"Activités des ménages en tant qu’employeurs ; activités indifférenciées de production de biens et services pour usage propre par les ménages - Activités des ménages en tant qu’employeurs de personnel domestique, Activités de services administratifs et de soutien - Activités administratives et autres activités de soutien aux entreprises, Activités de services administratifs et de soutien - Activités liées à l’emploi, +1"
MDS EXPRESS,PME/PMI,Industries manufacturières - Autres industries manufacturières
Mirobex,ONG,"Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Extraction minière et exploitation de carrières - Extraction de houille et de lignite, Extraction minière et exploitation de carrières - Extraction de pétrole brut et de gaz naturel, +82"
MOREY MECENE MAJOIE ET FILS,Structure étatique,"Industries manufacturières - Fabrication de machines et équipements n.c.a., Industries manufacturières - Fabrication de métaux de base, Industries manufacturières - Réparation et installation de machines et d’équipements, +5"
MOUSSE Abdou Rahamanou,ONG,"Information et communication - Programmation, conseil et autres activités informatiques, Information et communication - Télécommunications, Construction - Construction de bâtiments, +2"
NATURA SARL,PME/PMI,Industries manufacturières - Autres industries manufacturières
NEW HORIZON INTER,PME/PMI,"Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de gros, à l’exception des véhicules automobiles et des motocycles"
Noé AKAKOU,Entrepreneur,Industries manufacturières - Fabrication de produits alimentaires
N'ZE Confidence,ONG,"Industries manufacturières - Autres industries manufacturières, Activités immobilières - Activités immobilières, Construction - Travaux de construction spécialisés, +11"
oke salako,PME/PMI,"Extraction minière et exploitation de carrières - Activités de soutien à l’extraction, Extraction minière et exploitation de carrières - Autres industries extractives"
OLATOIRA ABEKE TRADING,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +65"
OMOKEY INVESTMENT,Structure étatique,"Activités immobilières - Activités immobilières, Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné - Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné, Construction - Construction de bâtiments, +4"
OREVIA GROUP,Structure étatique,"Activités immobilières - Activités immobilières, Construction - Construction de bâtiments, Construction - Génie civil, +8"
OTHENTIKS,PME/PMI,"Industries manufacturières - Fabrication de boissons, Industries manufacturières - Fabrication de produits alimentaires"
PEGASYS TECHNOLOGY,Startup / Scale-up,"Information et communication - Programmation, conseil et autres activités informatiques, Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Activités spécialisées, scientifiques et techniques - Autres activités spécialisées, scientifiques et techniques, +1"
PENTAGONE BUILDING,PME/PMI,"Construction - Construction de bâtiments, Construction - Génie civil, Construction - Travaux de construction spécialisés, +1"
Platinum Group Services Sarl,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes"
Prince Marcel EHOUN,Auto-entrepreneur,
Propav,Grande entreprise,"Construction - Construction de bâtiments, Construction - Génie civil, Construction - Travaux de construction spécialisés, +1"
PURETHNIK COSMÉTIQUES ET BIEN-ÊTRE,ONG,"Industries manufacturières - Fabrication de produits pharmaceutiques, chimiques médicinaux et de produits botaniques"
RICOD IMPACT,PME/PMI,"Activités spécialisées, scientifiques et techniques - Activités juridiques et comptables, Activités spécialisées, scientifiques et techniques - Activités des sièges sociaux ; conseil en gestion, Activités spécialisées, scientifiques et techniques - Publicité et études de marché, +15"
SAG ET FILS 1,PME/PMI,"Industries manufacturières - Autres industries manufacturières, Industries manufacturières - Fabrication d’articles en cuir et articles connexes, Information et communication - Activités de services d’information, +4"
SAG ET FILS TECHNOLOGY,Structure étatique,"Information et communication - Activités de services d’information, Information et communication - Programmation et diffusion, Information et communication - Programmation, conseil et autres activités informatiques, +1"
SAINT NATHAN ET FILS,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Industries manufacturières - Fabrication de matériel électrique, Industries manufacturières - Fabrication de produits alimentaires"
SALAOUDINE FEICAL,Structure étatique,"Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de gros, à l’exception des véhicules automobiles et des motocycles, Autres activités de services - Activités des organisations associatives, Activités des ménages en tant qu’employeurs ; activités indifférenciées de production de biens et services pour usage propre par les ménages - Activités indifférenciées de production de biens et services des ménages pour usage propre, +2"
Sean Services and technologies,Structure étatique,"Information et communication - Activités de services d’information, Information et communication - Télécommunications"
Servika,PME/PMI,"Activités immobilières - Activités immobilières, Hébergement et restauration - Restauration, Hébergement et restauration - Hébergement, +4"
SESSIGON,Startup / Scale-up,"Information et communication - Programmation, conseil et autres activités informatiques"
SHILOH SABOTH,Structure étatique,"Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de détail, à l’exception des véhicules automobiles et des motocycles, Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de gros, à l’exception des véhicules automobiles et des motocycles"
SIDIGLOBAL,Chef d'entreprise,"Construction - Construction de bâtiments, Construction - Travaux de construction spécialisés, Construction - Génie civil, +1"
SMART FARMING,Startup / Scale-up,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Information et communication - Programmation, conseil et autres activités informatiques"
SN SOLUTIONS,PME/PMI,
SOCIETE INDUSTRIELLE DE FABRICATION DE MATERIAUX ECOLOGIQUES,Startup / Scale-up,"Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte, traitement et élimination des déchets ; récupération des matériaux, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Dépollution et autres services de gestion des déchets"
SOCIETE LA ROCHE SARL,Grande entreprise,
SOGLO SENOU GENERIE HUGUETTE,Chef d'entreprise,"Industries manufacturières - Fabrication de produits alimentaires, Industries manufacturières - Fabrication de vêtements, Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de gros, à l’exception des véhicules automobiles et des motocycles, +2"
Solufoncier,Entrepreneur,"Activités spécialisées, scientifiques et techniques - Activités juridiques et comptables"
Standard Chartered,Grande entreprise,"Activités financières et d’assurance - Activités de services financiers, à l’exception de l’assurance et des caisses de retraite, Activités financières et d’assurance - Assurance, réassurance et caisses de retraite, sauf sécurité sociale obligatoire, Activités financières et d’assurance - Activités auxiliaires de services financiers et d’assurance, +2"
SUMANCO EXIM,PME/PMI,"Extraction minière et exploitation de carrières - Autres industries extractives, Industries manufacturières - Fabrication de boissons, Transports et entreposage - Transport maritime, +2"
SUNU Assurances vie Bénin,Grande entreprise,"Activités financières et d’assurance - Assurance, réassurance et caisses de retraite, sauf sécurité sociale obligatoire"
TABC,ONG,"Extraction minière et exploitation de carrières - Extraction de houille et de lignite, Extraction minière et exploitation de carrières - Extraction de pétrole brut et de gaz naturel, Extraction minière et exploitation de carrières - Extraction de minerais métalliques, +82"
TERRA VIVA,Startup / Scale-up,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière"
TICDEV,Startup / Scale-up,
TOGBEDJI MARTIAL RAPHAËL AKPEDJE,Structure étatique,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +81"
TOYIGBENA,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
WACSA SARL,PME/PMI,"Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Captage, traitement et distribution d’eau, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte et traitement des eaux usées, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte, traitement et élimination des déchets ; récupération des matériaux, +6"
WAKAPOU BENIN,PME/PMI,Industries manufacturières - Autres industries manufacturières
wAOUH MONDE,Startup / Scale-up,"Information et communication - Programmation, conseil et autres activités informatiques"
WELL STEVEN CONSULTING,PME/PMI,
WIWE AFRIQUE,Professionnel / Consultant indépendant,"Activités spécialisées, scientifiques et techniques - Activités juridiques et comptables, Activités de services administratifs et de soutien - Activités administratives et autres activités de soutien aux entreprises"
WORLD JOLLY GENERATION ENGINEERING AND TRADING SAR,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
YAHWEH JIRET CONCEPTION,Auto-entrepreneur,"Extraction minière et exploitation de carrières - Extraction de houille et de lignite, Extraction minière et exploitation de carrières - Extraction de pétrole brut et de gaz naturel, Extraction minière et exploitation de carrières - Extraction de minerais métalliques, +79"
YASKAR INTER,Chef d'entreprise,
YOUR FARM,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Industries manufacturières - Fabrication de produits alimentaires, Éducation - Éducation, +1"
ZIBO FINANCES SERVICES,PME/PMI,"Activités financières et d’assurance - Activités de services financiers, à l’exception de l’assurance et des caisses de retraite, Activités financières et d’assurance - Activités auxiliaires de services financiers et d’assurance"
,PME/PMI,
